Attribute VB_Name = "Module1"
' TIPOS NPC
' 0====== NPCS COMUNES
' 1====== PUEDE RESUCITAR
' 2====== GUARDIA
' 3====== PUEDE ENTRENAR
' 4====== BANQUEROS
' 5====== NOBLES
' 6====== DRAGONES
' 7====== APOSTADORES
' 8====== TIENDAS
' habla=Numero para que hable el npc
[INIT]
NumNPCs = 253

[NPC1] 'NPC
Name = Aldeano
Desc= La gente del pueblo esta atemorizada, pues se dice que el mal ha vuelto. No sabemos cuanto nos podrá ayudar el imperio, es por ello que muchos de los nuestros están yendose de las Tierras del Fénix y tantos otros preparándose para la guerra...
Head = 0
Body = 18
Heading = 3
Movement = 2
Comercia = 1
Alineacion = 0
Respawn = 0
NROITEMS = 1
Obj1 = 2 - 1

[NPC2] 'Gallo
Name = Gallo
Desc=
Head = 0
Body = 5
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 10
GiveGLD = 0
MinHP = 15
MaxHP = 15
MaxHIT = 1
MinHIT = 1
DEF = 0
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 5
PoderEvasion = 5
Domable = 30

[NPC3] 'Cerdo
Name = Cerdo
Desc=
Head = 0
Body = 6
Heading = 3
Movement = 2
Attackable = 0
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 35
MaxHP = 35
MaxHIT = 2
MinHIT = 1
DEF = 0
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 10
PoderEvasion = 15
Domable = 50
SND2 = 4

[NPC4] 'Vaca
Name = Vaca
Desc=
Head = 0
Body = 7
Heading = 3
Movement = 2
Attackable = 0
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 45
MaxHP = 45
MaxHIT = 3
MinHIT = 1
ImpactRate = 30
DEF = 2
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 25
PoderEvasion = 15
Domable = 70
SND2 = 8

[NPC5] ' Sacerdote
Name = Sacerdote
Info=Sacerdote bueno
NpcType = 1
Desc= Díos te bendiga de la maldad pura de Lord thek... si te asesinan vuelve yo te resusitare.
Head = 3
Body = 101
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
NROITEMS = 0

[NPC6] ' Guardia
Name=Guardia Imperial
NpcType = 2
Faccion = 1
Desc= Dicen que el final se aproxima, mas nosotros mantendremos nuestras posiciones hasta las últimas consecuencias.
Head = 0
Body = 15
Heading = 3
Movement = 3
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 1000
MaxHP = 1000
MaxHIT = 250
MinHIT = 115
PosOrig = 0
DEF = 30
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 400
PoderEvasion = 400
Domable = 0

[NPC9] 'NPC
Name = Granjero
Desc=Tengo las mejores manzanas, de mi cosecha personal.
Info=Comida Mapa 7
Head = 4
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 3
Inflacion = 0
Obj1 = 1 - 100
Obj2 = 27 - 100
Obj3 = 158 - 100
BackUp = 1
Domable = 0

[NPC10] 'NPC
Name = Bardo
Desc= El viento sopla fuerte/trae noticias de un triste final/Lord Azhimur el grande ha despertado/está esparciendo su maldad.
Head = 0
Body = 17
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Domable = 0

[NPC11] 'NPC
Name = Aldeana
Desc= Nuestro señor está reclutando gente para formar una poderosa armada. Por el bien de todos, por favor enlistate noble guerrero.
Head = 0
Body = 19
Heading = 3
Movement = 2
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Domable = 0

'************************************* NPCS ULLATHORPE ***************************************
'*********************************************************************************************

[NPC7] 'NPC
Name = Herrero
Desc=Bienvenido a mi tienda, supongo que debes estar buscando armas... ¡¡entonces compra o vete de aquí!!
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 2
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 21
Obj1 = 15 - 100
Obj2 = 164 - 100
Obj3 = 9 - 100
Obj4 = 3 - 100
Obj5 = 126 - 100
Obj6 = 401 - 100
Obj7 = 123 - 100
Obj8 = 125 - 100
Obj9 = 159 - 100
Obj10 = 759 - 100
Obj11 = 399 - 100
Obj12 = 124 - 100
Obj13 = 129 - 100
Obj14 = 403 - 100
Obj15 = 591 - 100
Obj16 = 592 - 100
Obj17 = 165 - 100
Obj18 = 365 - 100
Obj19 = 366 - 100
Obj20 = 367 - 100
Obj21 = 576 - 100
BackUp = 1
Domable = 0
info=Herrero de Ullathorpe (armas)

[NPC157]
Name = Herrero
Desc=Para aventurarte, guerrero, necesitaras cubrir tu cuerpo con gruesas armaduras.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 15
Obj1 = 30 - 100
Obj2 = 529 - 100
Obj3 = 672 - 100
Obj4 = 359 - 100
Obj5 = 499 - 100
Obj6 = 356 - 100
Obj7 = 360 - 100
Obj8 = 391 - 100
Obj9 = 497 - 100
Obj10 = 496 - 100
Obj11 = 556 - 100
Obj12 = 650 - 100
Obj13 = 487 - 100
Obj14 = 481 - 100
Obj15 = 482 - 100
BackUp = 1
Domable = 0
info=Herrero de Ullathorpe (armaduras/altos)

[NPC167]
Name = Herrero
Desc=Los escudos y los cascos son de gran ayuda para todos los guerreros.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 17
obj1 = 574 - 100
Obj2 = 568 - 100
Obj3 = 405 - 100
Obj4 = 564 - 100
Obj5 = 579 - 100
Obj6 = 404 - 100
Obj7 = 608 - 100
Obj8 = 130 - 100
Obj9 = 616 - 100
Obj10 = 623 - 100
Obj11 = 614 - 100
Obj12 = 691 - 100
Obj13 = 580 - 100
Obj14 = 783 = 100
Obj15 = 612 = 100
Obj16 = 873 = 100
Obj17 = 874 = 100
BackUp = 1
Domable = 0
info=Herrero de Ullathorpe (cascos y escudos)

[NPC8] 'NPC Comida: 24, 28, 29, 26, 25, 27.
Name = Thorkis
Desc=Muchos aldeanos han estado comprando comida en grandes cantidades para guardar en sus refugios, es por eso que los precios han aumentado.
Head = 4
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 6
Inflacion = 4
Obj1 = 24 - 100
Obj2 = 28 - 100
Obj3 = 29 - 100
Obj4 = 26 - 100
Obj5 = 25 - 100
Obj6 = 27 - 100
BackUp = 1
Domable = 0
info=Vendedor de comida de Ullathorpe

[NPC12]
Name = Sastre
Desc= ¿Tienes frío? No te preocupes, vendo ropajes a precios asombrosamente bajos.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 18
Inflacion = 0
Obj1 = 31 - 100
Obj2 = 32 - 100
Obj3 = 35 - 100
Obj4 = 504 - 100
Obj5 = 505 - 100
Obj6 = 506 - 100
Obj7 = 490 - 100
Obj8 = 486 - 100
